Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Save is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : T Save is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article Save is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List with Comments is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article Search by Comments from cache is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List from cache is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List with Comments is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article Search by Comments from cache is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List with Comments is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article Search by Comments from cache is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Article List from cache is success
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Çalışmalar\WEB\WebApiRepo\Article\Article.API
